ID,NAME,PREFIXES,URL,STATUS,INDEGREE,FULL_NAME,ACTORS_TYPE,COUNTRY,AREA,ANTHROPOGENIC_CLIMATE_CHANGE,MITIGATION_ADAPTATION,INDUSTRIAL_DELEGATION,THEMATIC_DELEGATION,LANGUAGE,COLLECTION,ABSTRACT_DRAFT,ABSTRACT,COMMENT,
e43efd31-0f0c-499d-a406-9a0a9b83b151,Wattsupwiththat,http://www.wattsupwiththat.com,http://www.wattsupwiththat.com,IN,172,WUWT - Watts Up With That ?,blogger,États-Unis d'Amérique,international,no,not_applicable,not_applicable,Air/atmosphère,EN,yes,,,"INFORMATION : conteste >> ""sceptiques""",
460ee16b-8802-4dcc-8943-d67850e33501,Co2science,http://www.co2science.org,http://www.co2science.org,IN,91,CO2 Science,association_non_profit_organization,États-Unis d'Amérique,international,dont_know,not_applicable,not_applicable,not_applicable,EN,yes,"The Center for the Study of Carbon Dioxide and Global Change was created to disseminate factual reports and commentary on new developments in the world-wide scientific quest to determine the climatic and biological consequences of the ongoing rise in the air's CO2 content. Weekly online publication: the CO2 Science magazine, which contains editorials on topics of current concern and mini-reviews of recently published peer-reviewed scientific journal articles, books, and other educational materials. In addition, the Center maintains on-line instructions on how to conduct CO2 enrichment and depletion experiments in its Global Change Laboratory, which allow interested parties to conduct similar studies in their own homes and classrooms. Specific projects and data: Medieval warm project period – Plants growth database – Ocean acidification database – World temperatures dataset",,,
cc145e85-084c-46ac-916d-f5923f21166c,Climatedepot,http://www.climatedepot.com,http://www.climatedepot.com,IN,99,Climate Depot,association_non_profit_organization,États-Unis d'Amérique,international,no,adaptation,not_applicable,not_applicable,EN,yes,,"Personal points of view edited by Marc Morano, senior aide, speechwriter, and climate researcher for Senator James Inhofe (Republican-OK).",INFORMATION : Committee For A Constructive Tomorrow (CFACT) [sic] / membres commun avec le Center for the study of carbon dioxide and climate change / difficile à catégoriser,
ab1ef739-e962-4ce1-9541-54922e687e93,Wri,http://www.wri.org,http://www.wri.org/our-work/topics/climate,IN,71,WRI - World Resources Institute,NGO,international,more than 50 countries,yes,mitigation_adaptation,Energie,Soil,EN,yes,,,plusieurs délégation thématique,
de134696-183c-4134-aa53-f8b5c06127b4,Drroyspencer,http://www.drroyspencer.com,http://www.drroyspencer.com,IN,111,Roy Spencer Ph. D.,blogger,États-Unis d'Amérique,international,no,not_applicable,not_applicable,Air/atmosphère,EN,yes,,"This website describes evidence from a personal group’s government-funded research that suggests global warming is mostly natural, and that the climate system is quite insensitive to humanity’s greenhouse gas emissions and aerosol pollution.",,
765ebd9e-f6c6-4175-8fd1-d18e1b546206,Heartland,http://www.heartland.org,http://www.heartland.org,IN,102,The Heartland Institute,association_non_profit_organization,États-Unis d'Amérique,international,no,not_applicable,not_applicable,not_applicable,EN,yes,"skeptics / The Heartland Institute is a 31-year-old national nonprofit organization devoted to discovering, developing, and promoting free-market solutions to social and economic problems. Heartland’s Center on Climate and Environmental Policy promotes pro-environment policies based on sound science and economics, not alarmism or ideology. Our strong stand against the politicization of science on matters of public health and the environment have earned us the enmity of many liberal public health and environmental groups and their allies in the mainstream media. In 2012, The Economist called Heartland “the world’s most prominent think tank supporting skepticism about man-made climate change.” We also address other environmental issues including renewable portfolio standards (RPS), clean air standards, smart drilling and hydraulic fracturing, sustainable development, food safety, and more. / questionne-remet en question la responsabilité de l'homme",,,
c301e765-3dc4-4acd-a506-3f7029e26b5a,Usgs,http://www.usgs.gov,http://www.usgs.gov,IN,82,USGC - United States Geological Survey,association_non_profit_organization,États-Unis d'Amérique,international,yes,mitigation_adaptation,not_applicable,not_applicable,EN,no,,,United States Geological Survey. Agency ? / CP: 07/10/2015 résolu,
430bafab-8c2f-4b6a-936a-801b54a75e0e,Skepticalscience,http://www.skepticalscience.com,http://www.skepticalscience.com,IN,136,Skeptical Science,blogger,international,international,yes,mitigation_adaptation,not_applicable,not_applicable,EN,yes,"The website ""gets skeptical about global warming skepticism"", and is advocating that scientists should challenge themselves to improve their understanding. Collects, criticizes and analyses the peer reviewed scientific literature with the purpose of deconstrucing the climate myths and fighting climate change denial",,,
33c4920f-6c47-40db-858a-9e9a8cb99d27,Ametsoc,http://www.ametsoc.org,http://www.ametsoc.org,IN,109,American Meteorological Society,association_non_profit_organization,États-Unis d'Amérique,USA,not_applicable,not_applicable,not_applicable,not_applicable,EN,no,"Parmi les projets en cours de l’AMS, la formation des enseignants des lycées et premières années d’université à l’étude des sciences océanographiques, atmosphériques, hydrologiques et la mise à disposition de matériel pédagogique à cet effet. Un partenariat a été récemment mis en place avec Second Nature, “supporting organization” du American College & University Presidents’ Climate Commitment (ACUPCC), pour la mise en place du AMS Climate Studies course dans 100 « minority-serving » institutions (MSIs) pour une durée de 5 ans","The American Meteorological Society promotes the development and dissemination of information and education on the atmospheric and related oceanic and hydrologic sciences and the advancement of their professional applications. AMS publishes eleven atmospheric and related oceanic and hydrologic journals — in print and online — sponsors more than 12 conferences annually, and offers numerous programs and services.",,
6b61b603-1cab-4727-b336-bc2e17854154,Scienceandpublicpolicy,http://www.scienceandpublicpolicy.org,http://www.scienceandpublicpolicy.org,IN,85,SPPI - Science and Public Policy Institute,think_tank,États-Unis d'Amérique,USA,no,not_applicable,not_applicable,not_applicable,EN,yes,"Science and public policy institute (SPPI) claimed mission is to provide research and educational materials dedicated to sound public policy based on sound science, and support the advancement of sensible public policies rooted in rational science and economics. Links to several skeptical websites ( the Heartland Institute and others). The most popular climate news items are the following : 35 Inconvenient Truths: The errors in Al Gore’s movie - Proved: There is No Climate Crisis - Fallacies about Global Warming - Obama on the 'urgency' of combating 'global warming' - Greenhouse Warming? What Greenhouse Warming?",,,
